OID_,STATUS,TYPE,LAT,LON
42,Active,Gasoline,29.735253870000001,-95.02042322
43,Active,Gasoline,29.737695680000002,-95.01754212
44,Active,Gasoline,29.738121920000001,-95.01831596
45,Active,Gasoline,29.737419169999999,-95.01878129
46,Active,Gasoline,29.738187929999999,-95.01957238
47,Active,Gasoline,29.737261329999999,-95.02022159
48,Active,Gasoline,29.736347869999999,-95.02090604
49,Active,Gasoline,29.735402830000002,-95.02157785
50,Active,Gasoline,29.736332109999999,-95.02283052
51,Active,Gasoline,29.737249500000001,-95.02219264
52,Active,Gasoline,29.738174480000001,-95.02148876
53,Active,Gasoline,29.737268929999999,-95.02381214
54,Active,Diesel,29.737154050000001,-95.01177052
55,Active,Diesel,29.737223660000002,-95.01122042
56,Active,Diesel,29.737355539999999,-95.01147801
57,Active,Diesel,29.737486440000001,-95.01170279
58,Active,Diesel,29.737688599999998,-95.01239555
59,Active,Diesel,29.738708769999999,-95.01132769
60,Active,Diesel,29.739371700000000,-95.01080912
61,Active,Diesel,29.739727200000001,-95.00996261
62,Active,Diesel,29.740451990000000,-95.00948146
63,Active,Diesel,29.738693680000001,-95.00958701
64,Active,Diesel,29.738312130000001,-95.00896696
65,Active,Diesel,29.738000169999999,-95.0100411
66,Active,Diesel,29.739450800000000,-95.01287295
67,Active,Diesel,29.739884600000000,-95.01364426
68,Active,Diesel,29.740130409999999,-95.01228916
69,Active,Diesel,29.740786069999999,-95.01184751
70,Active,Diesel,29.740185719999999,-95.01119332
71,Active,Diesel,29.741183660000001,-95.01268592
72,Active,Diesel,29.740595249999998,-95.01312383
73,Active,Gasoline,29.740981980000001,-95.01391887
74,Active,Gasoline,29.741656410000001,-95.01346555
75,Active,Gasoline,29.739693830000000,-95.01492279
76,Active,Diesel,29.739229450000000,-95.01408699
77,Active,Diesel,29.738713680000000,-95.01441368
78,Active,Diesel,29.737956590000000,-95.01497914
79,Active,Gasoline,29.738340059999999,-95.01566482
80,Active,Gasoline,29.739139389999998,-95.01511091
81,Active,Gasoline,29.739682210000002,-95.01617075
82,Active,Gasoline,29.738960769999998,-95.01665002
83,Active,Gasoline,29.740134430000001,-95.01691946
84,Active,Gasoline,29.739391900000001,-95.01739625
85,Active,Gasoline,29.739837850000001,-95.01817531
86,Active,Gasoline,29.740025039999999,-95.01568225
